0 	731.210603877
1 	595.215085069
2 	321.971220726
3 	293.92166035
4 	253.096570012
5 	246.835753951
6 	221.11107933
7 	211.682086276
8 	208.253783144
9 	175.049187199
10 	174.352863655
11 	160.343902995
12 	157.002408095
13 	152.500768759
14 	149.891466445
15 	130.987814106
16 	118.73574458
17 	118.709096763
18 	118.708899902
19 	116.63458343
20 	109.077603706
21 	108.367205286
22 	102.401601588
23 	92.9437779131
24 	89.386000618
25 	85.0489314486
26 	65.4746774338
27 	49.2709054545
28 	41.5349879477
29 	2.72215042085
30 	2.69362147985
31 	2.65397230963
32 	2.50698553403
33 	2.39443946868
34 	2.38499580175
35 	2.33109598519
36 	2.33109598519
37 	2.23878002271
38 	2.23254363181
39 	2.1952689991
40 	2.1819236901
41 	2.18192354821
42 	2.17086227164
43 	2.17086227164
44 	2.16399831366
45 	2.15125526315
46 	2.13582131183
47 	2.11198872076
48 	2.10342823546
49 	2.08889303915
50 	2.07521361982
51 	2.05286050811
52 	1.96499272961
53 	1.95149849472
54 	1.95114739643
55 	1.95114671569
56 	1.90241443753
57 	1.74956905281
